"","Term","Ont","N","DE","P.DE","FDR"
"GO:0044444","cytoplasmic part","CC",7892,4859,2.52235325986664e-30,5.42381621469123e-26
"GO:0005737","cytoplasm","CC",9180,5573,4.78766009378775e-28,1.02944267336624e-23
"GO:0044424","intracellular part","CC",11332,6755,9.21457239582547e-27,1.98122521082643e-22
"GO:0005622","intracellular","CC",11342,6758,2.63302691525468e-26,5.66100786779757e-22
"GO:0044446","intracellular organelle part","CC",7652,4696,4.27933681718334e-26,9.20014622326247e-22
"GO:0003723","RNA binding","MF",1433,996,9.13424445861678e-24,1.96367987371344e-19
"GO:0044422","organelle part","CC",7829,4775,8.2200876629682e-23,1.76707224490827e-18
"GO:0022613","ribonucleoprotein complex biogenesis","BP",421,334,3.28377357002687e-22,7.05879966612975e-18
"GO:0043043","peptide biosynthetic process","BP",561,426,4.23902172603383e-21,9.11177720010972e-17
"GO:0043227","membrane-bounded organelle","CC",9879,5916,1.46956796354613e-20,3.15868938084605e-16
"GO:0006412","translation","BP",541,410,4.54110779967197e-20,9.76020299383496e-16
"GO:0043231","intracellular membrane-bounded organelle","CC",8837,5326,6.88774733285955e-20,1.48031465677818e-15
"GO:0043604","amide biosynthetic process","BP",676,497,2.27434101912113e-19,4.88778628419322e-15
"GO:0006518","peptide metabolic process","BP",678,498,2.87156762111896e-19,6.17099881778464e-15
"GO:0070013","intracellular organelle lumen","CC",4488,2815,3.28498030645221e-19,7.05909418053515e-15
"GO:0031974","membrane-enclosed lumen","CC",4488,2815,3.28498030645221e-19,7.05909418053515e-15
"GO:0043233","organelle lumen","CC",4488,2815,3.28498030645221e-19,7.05909418053515e-15
"GO:0043229","intracellular organelle","CC",10061,6006,6.61964748171419e-19,1.42229745792111e-14
"GO:0042254","ribosome biogenesis","BP",271,223,8.54239099185593e-19,1.83533270460025e-14
"GO:0043603","cellular amide metabolic process","BP",893,634,1.90432540747878e-18,4.09125270542741e-14
"GO:0008152","metabolic process","BP",8869,5332,2.83101596786462e-18,6.08187160376356e-14
"GO:0044237","cellular metabolic process","BP",8405,5060,4.2858211260547e-17,9.20680094299071e-13
"GO:0005829","cytosol","CC",4325,2701,1.0670570125137e-16,2.29214516858068e-12
"GO:0034470","ncRNA processing","BP",348,271,2.81012886837307e-16,6.03615680926535e-12
"GO:0043226","organelle","CC",10590,6280,4.33475076655099e-16,9.31061117147488e-12
"GO:0034641","cellular nitrogen compound metabolic process","BP",5281,3254,6.89384641081938e-16,1.48066033211579e-11
"GO:0034660","ncRNA metabolic process","BP",515,380,1.84038919863996e-15,3.95260388191904e-11
"GO:0005575","cellular_component","CC",13188,7690,2.21855838540057e-15,4.76457598848626e-11
"GO:0071704","organic substance metabolic process","BP",8491,5093,3.46676659667999e-15,7.44488126637027e-11
"GO:0005623","cell","CC",12405,7268,8.39863487113213e-15,1.80352285222691e-10
"GO:0031975","envelope","CC",1050,718,1.22401780299814e-14,2.62833342837791e-10
