Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
SRR6298258_quant	63.67170454168698	8546013
SRR6298271_quant	69.99054653256943	9992761
SRR6298273_quant	73.08934319488642	11476629
SRR6298278_quant	77.83960581267534	14825624
SRR6298281_quant	74.6580305549535	10978058
SRR6298284_quant	70.21535513391923	13730190
SRR6298286_quant	65.7184354392921	8207996
SRR6298299_quant	59.64786918082024	13027811
SRR6298302_quant	62.53519318652357	12918594
SRR6298307_quant	74.92240953346362	14870208
SRR6298310_quant	64.93600896484807	13523144
SRR6298313_quant	74.85187863505031	10776282
SRR6298315_quant	63.64568134685156	11636261
SRR6298328_quant	66.10091881000851	12600836
SRR6298331_quant	61.726653737675576	12103124
SRR6298336_quant	73.15319978009028	14532859
SRR6298339_quant	69.32952927829012	11515874
SRR6298342_quant	70.09239782924372	11837549
SRR6298344_quant	63.87750740215904	13204117
SRR6298365_quant	63.049980586532925	10524316
SRR6298370_quant	73.13760960627613	13878418
SRR6298373_quant	69.78533040701774	14327264
SRR6298376_quant	69.00540973729784	12037628
