Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR6298258_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	656334	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	13421995	8546013	0	60276	286201	62735001	63.67170454168698	quant	Fri Apr 24 15:08:11 2020	Fri Apr 24 15:13:43 2020
SRR6298271_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	710455	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	14277301	9992761	0	70370	290216	56351117	69.99054653256943	quant	Fri Apr 24 15:14:54 2020	Fri Apr 24 15:20:20 2020
SRR6298273_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	725694	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	15702192	11476629	0	83552	333797	64536215	73.08934319488642	quant	Fri Apr 24 15:21:40 2020	Fri Apr 24 15:27:41 2020
SRR6298278_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	671349	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19046376	14825624	0	112652	337936	62869142	77.83960581267534	quant	Fri Apr 24 15:29:19 2020	Fri Apr 24 15:35:27 2020
SRR6298281_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	673722	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	14704457	10978058	0	77498	281842	60321667	74.6580305549535	quant	Fri Apr 24 15:36:41 2020	Fri Apr 24 15:40:40 2020
SRR6298284_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	599445	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19554398	13730190	0	103899	403354	76547108	70.21535513391923	quant	Fri Apr 24 17:28:08 2020	Fri Apr 24 17:32:55 2020
SRR6298286_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	685335	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	12489640	8207996	0	53699	260752	49673979	65.7184354392921	quant	Fri Apr 24 15:41:35 2020	Fri Apr 24 15:45:22 2020
SRR6298299_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	900591	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21841201	13027811	0	107784	479926	99501959	59.64786918082024	quant	Fri Apr 24 15:47:00 2020	Fri Apr 24 15:54:24 2020
SRR6298302_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	860716	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20658118	12918594	0	100076	457540	84550502	62.53519318652357	quant	Fri Apr 24 15:56:03 2020	Fri Apr 24 16:01:53 2020
SRR6298307_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	700245	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19847477	14870208	0	109255	362688	73910592	74.92240953346362	quant	Fri Apr 24 16:03:21 2020	Fri Apr 24 16:08:18 2020
